Date	Price Open	Price Low	Price High	Price Close	Volume
2021-12-24	6.8	5.9	7.0	6.0	190293700
2021-12-27	6.1	6.05	6.35	6.1	40221400
2021-12-28	6.2	6.15	6.75	6.7	80979900
2021-12-29	6.9	6.7	7.35	7.1	212894300
2021-12-30	7.05	6.95	7.5	7.05	93863500
2022-01-04	7.1	6.6	7.1	6.9	47917000
2022-01-05	7.0	6.95	7.3	7.1	66515000
2022-01-06	7.1	6.9	7.1	6.9	33228700
2022-01-07	6.95	6.9	7.15	7.0	21856900
2022-01-10	7.05	7.0	7.25	7.05	26604800
2022-01-11	7.1	7.05	7.45	7.45	58454800
2022-01-12	7.55	7.3	7.6	7.3	37955600
2022-01-13	7.3	7.3	7.5	7.35	16633700
2022-01-14	7.35	7.15	7.6	7.25	56679800
2022-01-17	7.3	7.0	7.35	7.05	26448300
2022-01-18	6.85	6.7	6.85	6.75	11680100
2022-01-19	6.75	6.55	6.85	6.6	7911500
2022-01-20	6.7	6.55	6.75	6.55	4115300
2022-01-21	6.55	6.3	6.55	6.3	7573200
2022-01-24	6.35	5.95	6.45	5.95	13210900
2022-01-25	6.0	5.7	6.05	5.75	8517300
2022-01-26	5.8	5.8	5.9	5.8	2873100
2022-01-27	5.85	5.6	5.85	5.75	3389400
2022-01-28	5.75	5.75	6.3	6.15	9352600
2022-01-31	6.15	6.15	6.4	6.25	4536100
2022-02-01	6.25	6.25	6.7	6.65	9894100
2022-02-02	6.6	6.6	6.8	6.75	8437300
2022-02-03	6.8	6.55	6.85	6.55	5787700
2022-02-04	6.55	6.5	6.8	6.8	5075000
2022-02-07	6.85	6.55	6.85	6.55	6005000
2022-02-08	6.6	6.45	6.7	6.55	3261000
2022-02-09	6.55	6.25	6.6	6.35	4992900
2022-02-10	6.45	6.1	6.55	6.1	7439700
2022-02-11	6.1	5.95	6.3	5.95	6383400
2022-02-14	5.95	5.7	6.05	6.05	3899900
2022-02-15	6.1	6.0	6.15	6.0	2622900
2022-02-17	6.05	6.05	6.35	6.25	5699500
2022-02-18	6.2	6.05	6.3	6.3	4945200
2022-02-21	6.3	6.05	6.3	6.05	1794400
2022-02-22	6.0	5.95	6.1	6.0	2319400
2022-02-23	5.8	5.75	6.0	5.9	5844700
2022-02-24	5.9	5.65	5.95	5.7	3636000
2022-02-25	5.8	5.7	5.95	5.85	2818300
2022-02-28	5.9	5.75	6.05	5.95	2627800
2022-03-01	6.0	5.85	6.1	6.0	2799500
2022-03-02	6.0	6.0	6.4	6.3	11735700
2022-03-03	6.3	6.25	6.45	6.4	4390400
2022-03-04	6.3	6.15	6.4	6.15	1826400
2022-03-07	6.1	5.8	6.15	5.85	2273200
2022-03-08	5.75	5.5	5.95	5.65	4413000
2022-03-09	5.7	5.65	5.8	5.8	1090900
2022-03-10	5.85	5.8	5.9	5.8	1579700
2022-03-11	5.8	5.75	5.9	5.85	634700
2022-03-14	5.9	5.8	6.0	5.85	2129300
2022-03-15	5.85	5.7	5.9	5.8	732600
2022-03-16	5.8	5.75	5.85	5.75	1360500
2022-03-17	5.8	5.8	6.1	5.95	4498900
2022-03-18	6.0	5.9	6.05	5.95	1635500
2022-03-21	5.95	5.75	6.0	5.85	1612900
2022-03-22	5.85	5.8	5.85	5.85	711800
2022-03-23	5.85	5.8	5.9	5.8	510900
2022-03-24	5.8	5.75	5.95	5.8	2381400
2022-03-25	5.8	5.7	5.8	5.75	1261200
2022-03-28	5.8	5.7	5.8	5.8	744500
2022-03-29	5.8	5.7	5.8	5.75	442800
2022-03-30	5.8	5.7	5.85	5.75	1333200
2022-03-31	5.8	5.75	5.9	5.85	2456000
2022-04-01	5.9	5.8	6.25	6.2	9810900
2022-04-04	6.1	5.95	6.2	6.0	5139100
2022-04-05	6.05	6.05	6.35	6.3	12408900
2022-04-07	6.25	6.1	6.3	6.15	3590600
2022-04-08	6.2	6.15	6.65	6.15	23185700
2022-04-11	6.15	5.95	6.2	5.95	6919900
2022-04-12	5.95	5.8	6.05	6.05	4057300
2022-04-18	6.05	5.95	6.1	6.05	1413000
2022-04-19	6.05	6.0	6.2	6.05	3016800
2022-04-20	6.1	6.05	6.15	6.1	1137500
2022-04-21	6.15	6.0	6.15	6.1	843100
2022-04-22	6.1	6.0	6.1	6.0	1097600
2022-04-25	6.0	5.8	6.0	5.85	2855600
2022-04-26	5.9	5.8	5.95	5.8	1032300
2022-04-27	5.85	5.75	5.85	5.75	1138900
2022-04-28	5.75	5.75	5.95	5.85	1535600
2022-04-29	5.9	5.9	6.05	5.95	1418300
2022-05-03	6.0	5.75	6.0	5.8	1736100
2022-05-05	5.8	5.7	5.85	5.7	1212400
2022-05-06	5.65	5.25	5.7	5.25	5105000
2022-05-09	5.1	4.82	5.25	4.84	4895000
2022-05-10	4.84	4.54	4.9	4.9	2161600
2022-05-11	4.72	4.42	4.8	4.42	6732100
2022-05-12	4.46	4.16	4.52	4.16	3007300
